項目名,決算日,貯金額,前月との増減比較,合計金額,銀行口座残高,Google Play,paypay残高,スタバカードの残高,引き出しのへそくり,スマホSuica,時計Suica,財布（青）,財布（黒橙）,三井銀行口座,中間DateBase
2026年3月 決算,2026年3月31日,"¥ +2,236,094","¥ +12,367","¥ 2,236,094","￥1,669,143","￥1,409","￥26,090",￥230,"￥114,000",￥966,￥19,"￥9,590","￥10,000","￥404,647",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2026年2月 決算,2026年2月28日,"¥ +2,223,727","¥ +51,609","¥ 2,223,727","￥1,694,474","￥1,494",￥140,￥332,"￥106,000",￥949,￥19,"￥5,672","￥10,000","￥404,647",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2026年1月 決算,2026年1月31日,"¥ +2,172,118","¥ +134,063","¥ 2,172,118","￥1,652,216","￥1,512",￥416,￥332,"￥121,000",￥346,￥19,"￥5,129","￥10,000","￥381,148",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2025年12月 決算,2025年12月31日,"¥ +2,038,055","¥ +2,038,055","¥ 2,038,055","￥1,546,903","￥1,295",￥235,￥332,"￥120,000",￥446,￥19,"￥6,563","￥10,000","￥352,262",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2025年10月 決算,2025年10月31日,"¥ +1,924,031","¥ -37,039","¥ 1,924,031","￥1,564,787","￥1,365",￥954,￥332,"￥80,000","￥1,272",￥19,"￥8,000",￥0,"￥267,302",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2025年9月 決算,2025年9月30日,"¥ +1,961,070","¥ -59,552","¥ 1,961,070","￥1,603,832","￥1,537",￥537,￥893,"￥49,000",￥694,￥19,"￥34,783","￥10,000","￥259,775",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2025年8月 決算,2025年8月31日,"¥ +2,020,622","¥ +29,091","¥ 2,020,622","￥1,587,829","￥1,537","￥3,290","￥1,628","￥24,000",￥191,￥19,"￥141,134","￥5,000","￥255,994",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2025年7月 決算,2025年7月31日,"¥ +1,991,531","¥ +69,099","¥ 1,991,531","￥1,666,923","￥1,397",￥0,"￥1,628","￥24,000",￥305,￥19,"￥49,587","￥10,000","￥237,672",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2025年6月 決算,2025年6月30日,"¥ +1,922,432","¥ +73,060","¥ 1,922,432","￥1,596,548","￥1,499","￥18,925","￥1,628","￥24,000",￥895,￥159,"￥51,464","￥10,000","￥217,314",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2025年5月 決算,2025年5月31日,"¥ +1,849,372","¥ +50,444","¥ 1,849,372","￥1,603,018","￥1,438",￥0,"￥1,628","￥24,000",￥685,￥359,"￥37,129","￥10,000","￥171,115",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2025年4月 決算,2025年4月30日,"¥ +1,798,928","¥ +110,613","¥ 1,798,928","￥1,580,895","￥1,431",￥415,"￥1,628","￥24,000",￥593,￥469,"￥51,238","￥10,000","￥128,259",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2025年3月末 決算,2025年3月31日,"¥ +1,688,315","¥ +97,494","¥ 1,688,315","￥1,491,067","￥1,653",￥757,"￥1,628","￥24,000",￥983,￥469,"￥32,504","￥10,000","￥125,254",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2025年3月24日 決算,2025年3月24日,"¥ +1,606,859","¥ +16,038","¥ 1,606,859","￥1,403,437","￥1,933",￥281,"￥1,628","￥24,000",￥33,￥619,"￥39,674","￥10,000","￥125,254",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2025年3月中,2025年3月10日,"¥ +1,618,939","¥ +28,118","¥ 1,618,939","￥1,445,986","￥1,795",￥751,"￥1,628","￥24,000",￥33,￥809,"￥8,683","￥10,000","￥125,254",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2025年2月決済,2025年2月28日,"¥ +1,590,821",¥ 0,"¥ 1,590,821","￥1,415,506","￥1,728",￥699,"￥1,628","￥24,000",￥993,"￥1,009","￥10,004","￥10,000","￥125,254",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2025年1月決済(2月の複製),2025年1月31日,"¥ +1,590,821","¥ +1,590,821","¥ 1,590,821","￥1,415,506","￥1,728",￥699,"￥1,628","￥24,000",￥993,"￥1,009","￥10,004","￥10,000","￥125,254",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
2024年12月決算,2024年12月27日,"¥ +1,325,119","¥ +1,325,119","¥ 1,325,119","￥1,172,820","￥1,958",￥984,￥325,"￥24,000",￥999,￥9,"￥4,639","￥11,000","￥108,385",マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
