項目名,支払日,カテゴリー,金額,備考,決算日,最終更新日時,中間DateBase
Amazon Prime,2026年4月15日,固定費,￥300,詳しくはPay Payの「取引履歴」を確認してください,2026年4月30日,2026年4月15日 0:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Googleplay point失効,2026年3月31日,雑費,￥85,,2026年3月31日,2026年3月31日 18:24,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
PayPayポイント運用,2026年3月30日,雑費,￥61,PayPayポイント運用,2026年3月31日,2026年3月31日 18:10,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月29日,交通費,￥160,９９３３０１　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月28日,交通費,￥160,SU野田　 入場/SU姫島　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
そば,2026年3月28日,食費,￥980,７２０６９２　ＯＲＡＧＡＳＯＢ,2026年3月31日,2026年3月31日 18:10,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
丸亀製麺,2026年3月28日,食費,￥440,５７８３３２　ＭＡＲＵＧＡＭＥ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月28日,交通費,￥160,４６０４１３　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
定期券,2026年3月27日,立替,"￥74,170",２４７８１７　ＨＡＮＳＨＩＮＤ,2026年3月31日,2026年3月31日 18:21,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月27日,交通費,￥160,SU野田　 入場/SU梅田　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月27日,交通費,￥200,SU梅田　 入場/SU姫島　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
PayPayポイント運用,2026年3月27日,雑費,￥24,PayPayポイント運用,2026年3月31日,2026年3月31日 18:10,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
カラオケ,2026年3月25日,雑費,"￥7,940",３０８９６４　ＪＡＮＫＡＲＡ,2026年3月31日,2026年3月31日 18:10,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月25日,交通費,￥350,８５３６０２　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月25日,交通費,￥160,SU姫島　 入場/SU福島　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月25日,交通費,￥200,SU梅田　 入場/SU姫島　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月25日,交通費,￥200,SU姫島　 入場/SU梅田　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月25日,交通費,￥200,SU梅田　 入場/SU姫島　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
なつき,2026年3月25日,雑費,"￥2,000",なつき,2026年3月31日,2026年3月31日 18:10,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
三田製麺所,2026年3月24日,食費,"￥1,340",４７７７１３　ＭＩＴＡＳＥＩＭ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月24日,交通費,￥160,３６６６０５　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月24日,交通費,￥160,SU姫島　 入場/SU野田　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月24日,交通費,￥190,SU野田　 入場/SU阿波座 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
カラオケ,2026年3月23日,雑費,"￥3,520",３００８０８　ＪＡＮＫＡＲＡ,2026年3月31日,2026年3月31日 18:21,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
コンビニ買い物,2026年3月23日,食費,￥951,２４３３４４　ＦＡＭＩＬＹＭＡ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月23日,交通費,￥160,SU姫島　 入場/SU野田　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月23日,交通費,￥200,SU梅田　 入場/SU姫島　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月22日,交通費,￥160,４１５６００　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月22日,交通費,￥700,SU八尾　 入場/SU姫島　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
なつき,2026年3月22日,雑費,"￥1,000",なつき,2026年3月31日,2026年3月31日 18:21,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
コンビニ買い物,2026年3月21日,食費,"￥1,001",３４３２５３　ＬＡＷＳＯＮ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
打ち上げ買い出し,2026年3月21日,食費,"￥2,649",２０７０８４　ＫＩＮＳＨＯ　Ｓ,2026年3月31日,2026年3月31日 18:22,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
丸亀製麺,2026年3月21日,食費,￥380,０２９９１０　ＭＡＲＵＧＡＭＥ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月21日,交通費,￥160,SU野田　 入場/SU梅田　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月21日,交通費,￥200,JW大阪　 入場/JW鶴橋　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月21日,交通費,￥300,SU鶴橋　 入場/SU八尾　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
ざき延長,2026年3月21日,雑費,"￥2,000",ざき,2026年3月31日,2026年3月31日 18:22,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
ざき延長,2026年3月21日,雑費,"￥2,000",ざき,2026年3月31日,2026年3月31日 18:22,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
須磨テラス,2026年3月20日,食費,"￥1,300",６１７５２７　ＳＵＭＡＴＥＲＲ,2026年3月31日,2026年3月31日 18:22,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月20日,交通費,￥750,４０６０８２　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月19日,交通費,￥390,８９８３２５　ＴＡＰ　ＴＯ　Ｒ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月18日,交通費,￥200,SU姫島　 入場/SU梅田　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
交通費,2026年3月18日,交通費,￥180,JW京橋　 入場/JW大阪　 出場,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
シアトルズコーヒー,2026年3月18日,食費,￥990,７３８６５７　ＬＵＣＵＡＯＳＡ,2026年3月31日,2026年3月31日 18:37,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
ラーメン,2026年3月18日,食費,"￥1,150",７００８４６　ＮＩＫＵ　ＴＯ,2026年3月31日,2026年3月31日 18:23,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
ビアードパパ,2026年3月18日,食費,￥260,５８１６７８　BP KEIHAN HIRAKATASHI STA,2026年3月31日,2026年3月31日 18:40,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
バス交通費,2026年3月18日,交通費,￥680,４１８３７８　MIEKOUTSU BUS,2026年3月31日,2026年3月31日 18:41,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
もより市,2026年3月18日,食費,￥280,もより市 - もより市京橋駅ホーム,2026年3月31日,2026年3月31日 18:12,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
天川敬太郎,2026年3月18日,食費,"￥1,130",天川敬太郎,2026年3月31日,2026年3月31日 18:12,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
Suicaで買い物,2026年3月17日,食費,￥150,Suicaで買い物,2026年3月31日,2026年3月31日 18:06,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
京阪謎とき,2026年3月17日,雑費,"￥2,600",３２７７０７　ＳＵＲＵＴＴＯ,2026年3月31日,2026年3月31日 18:11,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
コンビニ買い物,2026年3月17日,食費,"￥1,317",２５８５８０　ＦＡＭＩＬＹＭＡ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
コンビニ買い物,2026年3月17日,食費,￥387,２５１６２８　ＦＡＭＩＬＹＭＡ,2026年3月31日,2026年3月31日 18:05,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
赤福カフェ,2026年3月17日,食費,￥800,０９９９６８　ＡＫＡＦＵＫＵ,2026年3月31日,2026年3月31日 18:11,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
赤福お土産,2026年3月17日,食費,"￥1,500",０９８７７８　ＡＫＡＦＵＫＵ,2026年3月31日,2026年3月31日 18:11,マスター (https://www.notion.so/1b1c6c2558a081cd898dd4d727da71e0?pvs=21)
